date,strategy,cv_roc_auc_mean,cv_std,n_samples,wins,stops,saved
20260630,orb,0.548,0.066,238,149,89,yes
20260630,parabolic,0.834,0.052,146,53,93,yes
20260630,eod_momentum,0.613,0.145,40,12,28,yes
20260630,atr_expansion,NA,NA,28,NA,NA,no
20260705,orb,NA,NA,NA,NA,NA,no
20260705,parabolic,NA,NA,NA,NA,NA,no
20260705,eod_momentum,NA,NA,NA,NA,NA,no
20260705,atr_expansion,NA,NA,NA,NA,NA,no
20260712,orb,NA,NA,NA,NA,NA,no
20260712,parabolic,NA,NA,NA,NA,NA,no
20260712,eod_momentum,NA,NA,NA,NA,NA,no
20260712,atr_expansion,NA,NA,NA,NA,NA,no
20260714,orb,0.620,0.034,268,164,104,yes
20260714,parabolic,0.797,0.052,230,94,136,yes
20260714,eod_momentum,0.678,0.057,43,13,30,yes
20260714,atr_expansion,0.595,0.307,46,20,26,yes
